,| 男性的 |,| 女性的 |,不分男女的 :,最常用於男性 = 男女,最常用於女性 = 女男,,,,,,
男,Finn (2),,,丹麥語、挪威語、瑞典語、荷蘭語、德語,源自古挪威語名稱 Finnr，意為「薩米人，來自芬蘭的人」。,,,,,,
男,Finnegan,"Finn, Finny",,英語（現代）,從愛爾蘭的姓氏，一種英語形式的ÓFionnagáin本身源自給定名稱Fionnagán，這是Fionn的小小的。這是詹姆斯·喬伊斯（James Joyce）的小說《芬尼根（Finnegans Wake）》（Finnegans Wake，1939年）中相對較小的角色的姓氏，其標題是基於19世紀的愛爾蘭民謠，稱為Finnegan's Wake。,,,,,,
男,Finnley,,,英語（現代）,Finley的變體。,,,,,,
女,Fiona,,,蘇格蘭語,意為「公平、美麗」，由詩人 James Macpherson 創造。,,,,,,
男,Fisher,,,英語,源自英文姓氏，意為「漁夫」。,,,,,,
男,Fisk,,,英語、斯堪地那維亞語,意為「魚」，多作姓氏使用。,,,,,,
男,Fitch,,,英語,來自職業姓氏，可能與毛皮交易有關。,,,,,,
男,Fitz,,,法語/英語,來自中世紀 Norman 字首，意為「之子」。,,,,,,
男,Fitzgerald,,,英語/愛爾蘭語,意為「Gerald 之子」，著名家族姓氏。,,,,,,
男,Fitzroy,,,英語,意為「國王之子」，用作貴族私生子之姓。,,,,,,
男,Flanagan,,,英語（罕見）,從愛爾蘭的姓氏，ÓFlannagáin的英語形式本身是摘自給定名稱的弗拉納根（Flannagán），該名稱源自愛爾蘭的弗蘭（Flann）“血紅色”和少量的後綴。,,,,,,
女,Flannery,,,英語（罕見）,從愛爾蘭姓氏（Irish姓氏），一種of flannghaile的英語形式，源自給定名稱的弗蘭加爾（Flannghal）含義“紅色勇氣”。著名的承載者是美國作家弗蘭納里·奧康納（Flannery O'Connor）（1925-1964）。,,,,,,
男,Fletcher,,,英語,從中間英語的“箭頭製造商”的姓氏，最終來自古老的法國弗萊徹。,,,,,,
女,Fleur,,,法語,意為「花朵」，象徵美麗與自然。,,,,,,
女,Fleurette,,,法語,Fleur 的小詞，意為「小花」。,,,,,,
女男,Flick,,,英語（罕見）,felicity的小小的。在某些情況下，這可能是英語單詞Flick的暱稱。,,,,,,
男,Flint,,,英語,來自英語詞彙單詞，來自古老的英語flint。,,,,,,
女,Flo,,,英語,Florence 或 Flora 的簡短形式。,,,,,,
女,Floella,,,英語（罕見）,Flo 的詳細形式。,,,,,,
女,Flora,,,拉丁語,古羅馬花神，意為「花朵」，象徵春天與生命。,,,,,,
女男,Florence,"Flo, Florrie, Florry, Flossie, Floy, Floella",,拉丁語,意為「繁榮」、「開花的」；如南丁格爾。,,,,,,
女,Floretta,,,英語,延遲的小小的 Flora。,,,,,,
女,Florrie,,,,,,,,,,
女,Florry,,,,,,,,,,
女,Flossie,,,英語,Florence 的暱稱形式，傳統女性名。,,,,,,
女,Flower,,,英語（罕見）,僅來自開花植物的英語單詞花。它（通過舊法語）來自拉丁文。,,,,,,
男,Floyd,,,威爾斯語,意為「灰髮者」，源於 Llwyd。,,,,,,
男,Flynn,,,愛爾蘭語,意為「紅髮的後代」，源自 Ó Floinn。,,,,,,
男,Fontaine,,,法語,意為「泉水」，象徵自然與純淨。,,,,,,
男,Ford,,,英語,來自一個源自一個地名的英語姓氏，意為 “可涉水而過之處；淺灘” 的舊英語。姓氏的著名承載者是美國工業家亨利·福特（Henry Ford）（1863-1947）。,,,,,,
男,Forrest,,,英語,意為「森林」；象徵自然與堅毅。,,,,,,
男女,Fortune,,,英語,意為「命運」或「幸運」，源自拉丁語 Fortuna。,,,,,,
男,Foster,,,英語,來自職業姓氏，意為「看護者」、「寄養者」。,,,,,,
男,Fox,,,英語,源於動物狐狸的名字，象徵狡猾或聰明。,,,,,,
男女,Fran,,,西班牙語、英語、克羅地亞語、斯洛維尼亞語,Francis、Frances 或相關名字的簡稱。,,,,,,
女,Francene,,,英語（罕見）,Francine 的英文變體。,,,,,,
女,Frances,"Cissy, Fannie, Fanny, Fran, Frankie, Frannie, Franny, Sissie, Sissy",,拉丁語,意為「自由的人」，女性版 Francis。,,,,,,
女,Francesca,,,義大利語,Frances 的義大利女性變體，意為「自由的女性」。,,,,,,
女,Francine,,,英語、法語,Frances 的變體，意為「自由的人」。,,,,,,
男女,Francis,"Cissy, Fannie, Fanny, Fran, Frank, Frankie, Frannie, Franny, Sissie, Sissy",,英語、法語,"晚期拉丁名 Franciscus 的英語形式，意為“法國人”，最終源於日耳曼部落法蘭克人，該部​​落因其使用的一種長矛而得名（原始日耳曼語 *frankô）。此名源自13世紀的聖方濟各·阿西西，他原名喬凡尼 (Giovanni)，但其仰慕法國的父親給他起了個綽號叫弗朗西斯科 (Francesco)。方濟各後來放棄了父親的財富，將自己的一生奉獻給窮人，創立了方濟會修士。晚年，他似乎被釘上了聖痕。
由於這位聖人的聲望，此名在中世紀的西歐廣為流傳。然而，直到16世紀，它才在英國被廣泛使用。著名的擁有者包括東亞傳教士聖方濟各·澤維爾（1506-1552）、哲學家兼科學家弗朗西斯·培根（1561-1626）、探險家兼海軍上將弗朗西斯·德雷克（1540-1595）和教皇方濟各（1936-2025）。
在英語世界中，這個名字偶爾也用於女孩，是同音詞 Frances 的變體。",,,,,,
男,Frank,Frankie,,英語、德語、荷蘭語、丹麥語、瑞典語、挪威語、法語,"源自古德語名，指日耳曼部落法蘭克人。法蘭克人在西元 3 至 4 世紀定居於現今的法國、比利時和荷蘭地區。他們的部落名可能源自於他們使用的一種長矛，源自於原始日耳曼語 *frankô。從中世紀開始，該名字的各種形式通常與 Francis 的各種形式混淆。在現代，有時它被用作 Francis 或 Franklin 的縮寫。
該名字由諾曼人傳入英國。著名的法蘭克人包括作家 L. Frank Baum（1856-1919）、建築師 Frank Lloyd Wright（1867-1959）和歌手 Frank Sinatra（1915-1998）。",,,,,,
男女,Frankie,,,英語,弗蘭克 (Frank) 或弗朗西斯 (Frances) 的暱稱。,,,,,,
男,Franklin,"Frank, Frankie",,英語,源自於一個源自中世紀英語frankelin（意為「自由人」）的英語姓氏。該姓氏的著名持有者是美國政治家、發明家、科學家和哲學家本傑明·富蘭克林（1706-1790）。在美國，該姓氏通常以他的名字命名。在美國總統富蘭克林·D·羅斯福（1882-1945）任期內，該姓氏也得到了進一步的推廣。,,,,,,
男,Franklyn,,,英語,Franklin 的變體。,,,,,,
女,Frannie,,,英語,(Frances) 的暱稱。,,,,,,
男女,Franny,,,英語,Frances 的暱稱，意為「自由的女性」。,,,,,,
男,Fraser,,,蘇格蘭語、英語（罕見）,源自蘇格蘭姓氏，原為諾曼法語 de Fresel，可能源自法國一個已失傳的地名。源自蘇格蘭姓氏，原為諾曼法語 de Fresel，可能源自法國一個已失傳的地名。,,,,,,
男,Frazier,,,英語,Fraser 的變體。,,,,,,
男,Fred,"Freddie, Freddy",,英語、荷蘭語、德語、法語、葡萄牙語、瑞典語、挪威語,Frederick 的縮寫形式，以及其他包含相同元素的名字。美國演員兼舞者 Fred Astaire (1899-1987) 是該名字的著名使用者。電視影集《摩登原始人》（1960-1966）中的卡通穴居人 Fred Flintstone 也使用了這個名字。,,,,,,
女,Freda,Freddie,,英語,以 freda 或 fred 結尾的名字的簡稱，例如 Winifred 或 Alfreda。,,,,,,
男女,Freddie,,,英語,弗雷德里克 (Frederick) 或弗雷達 (Freda) 的暱稱。一位值得注意的姓氏是音樂家弗雷迪·默丘里 (Freddie Mercury，1946-1991)，本名法魯克·布勒薩拉 (Farrokh Bulsara)，英國搖滾樂隊皇后樂隊 (Queen) 的主唱。,,,,,,
男,Freddy,,,英語、法語、荷蘭語,Frederick 的暱稱，以及其他包含相同元素的名稱。一個著名的虛構代名詞是恐怖片《猛鬼街》系列中的反派角色弗雷迪克魯格，該系列電影於 1984 年開始播出。,,,,,,
女,Frederica,Rica,,葡萄牙語、英語,Frederico 或 Frederick 的女性形式。,,,,,,
男,Frederick,"Fred, Freddie, Freddy",,英語,"一個古德語名字的英語形式，意為“和平的統治者”，源自於 fridu（意為“和平”）和 rih（意為“統治者，國王”）。這個名字在日耳曼大陸地區早已很常見，神聖羅馬帝國、德意志、奧地利、斯堪的納維亞和普魯士的統治者都曾使用過這個名字。這些統治者中，著名的有12世紀的神聖羅馬帝國皇帝兼十字軍戰士腓特烈一世·巴巴羅薩，13世紀的皇帝兼藝術贊助人腓特烈二世，以及18世紀的普魯士國王腓特烈二世，即腓特烈大帝。
諾曼人在11世紀將這個名字帶到了英國，但很快就消失了。 18世紀，德國漢諾威王朝繼承了英國王位後，重新使用了這個名字。其中一位著名的使用者是弗雷德里克·道格拉斯（1818-1895），他是一位美國前奴隸，後來成為廢奴運動的主要倡導者。",,,,,,
男,Fredric,"Fred, Freddie, Freddy",,英語,Frederick 的變體。,,,,,,
男,Freeman,,,英語,源自英語姓氏，意為「自由人」。最初指非農奴。,,,,,,
女,Freida,,,英語,(Frieda) 的變體。,,,,,,
女,Freya,,,北歐神話、英語（現代）、德語,"源自古挪威語“Freyja”，意為“女士”。這是北歐神話中一位與愛、美、戰爭和死亡相關的女神的名字。她將戰死沙場的英雄們的一半帶回她的王國弗爾克範格爾（Fólkvangr）。她與兄弟弗雷（Freyr）和父親尼約德（Njord）同屬華納神族（Vanir，與阿薩神族相對）。一些學者將她與女神弗麗嘉（Frigg）聯繫起來。
這並非斯堪的納維亞語的常用拼寫（瑞典語和丹麥語為Freja，挪威語為Frøja），但在英語中卻是女神名字的常用拼寫。 21世紀初，它在英國開始流行。",,,,,,
男女,Friday,,,英語（非洲）,源自英語中表示星期幾的單字，該詞源自古英語frigedæg，意為「弗里格的一天」。丹尼爾·笛福在其1719年的小說《魯濱遜漂流記》中用它來指稱一個角色。作為名字，它在非洲部分地區最常見，例如尼日利亞和尚比亞。,,,,,,
女,Frieda,,,德語、英語,Frida 的變體。,,,,,,
女,Frona,,,英語（罕見）,(Sophronia) 的暱稱。,,,,,,
男,Fulk,,,英語（古語）,源自日耳曼語名稱 Fulco，它是各種名稱的簡稱，以古法蘭克語 fulk 或古高地德語 folk（意為“人民”）開頭（原始日耳曼語 *fulką）。諾曼人將此名稱帶到了英格蘭，但如今已非常罕見。,,,,,,
男,Fulke,,,英語（古語）,Fulk 的變體。,,,,,,
男,Fulton,,,英語,這個姓氏源自諾福克郡福爾登鎮的名字，本身在古英語中意為「鳥丘」。,,,,,,
G,,,,,,,,,,,
女,Gabby,,,英語,(Gabrielle) 的暱稱。,,,,,,
男,Gabe,,,英語,Gabriel 的縮寫。,,,,,,
男,Gabriel,Gabe,,法語、西班牙語、葡萄牙語、德語、瑞典語、挪威語、丹麥語、芬蘭語、加泰隆尼亞語、英語、羅馬尼亞語、波蘭語、捷克語、斯洛伐克語、格魯吉亞語、聖經語、聖經拉丁語、聖經希臘語,"源自希伯來文名字 גַבְרִיאֵל (Ḡavriʾel)，意為「上帝是我的強者」，源自 גֶּבֶר (gever)，意為「強者，英雄」和 אֵל (ʾel)，ל為上帝」。加百列（Gabriel）是希伯來傳統中的大天使，常以上帝使者的形像出現。在《舊約》中，他被派去解釋先知但以理的異象；在《新約》中，他宣告約翰和撒迦利亞的降生，以及耶穌和瑪利亞的降生。根據伊斯蘭傳統，他是向穆罕默德口述《古蘭經》的天使。
這個名字自12世紀以來在英國偶爾使用。直到20世紀末，它在英語世界才開始流行。",,,,,,
女,Gabriella,,,義大利語、匈牙利語、英語、瑞典語,(Gabriel) 的女性形式。,,,,,,
女,Gabrielle,"Ella, Gabi, Gabby, Bree, Bria, Brie, Briella",,義大利語、匈牙利語、英語、瑞典語,(Gabriel) 的女性形式。,,,,,,
男,Gael,,,布列塔尼語、英語（現代）、西班牙語（現代）,可能源自民族語言學術語“蓋爾人”，指蓋爾語使用者。,,,,,,
男,Gage,,,英語（現代）,源自古法語的一個英語姓氏，意為“量度”，最初指化驗員，或“質押物”，指放債人。這個名字因《寵物墳場》（1983年）一書及其後續電影改編版（1989年）中的一個角色而廣為人知。,,,,,,
女,Gail,,,英語,(Abigail) 的縮寫。,,,,,,
女,Gaila,,,英語（罕見）,(Gail) 的詳細形式。,,,,,,
女,Gale (1),,,英語,Gail 的變體。它也與英語單字 gale（意為“風暴”）相符。,,,,,,
男,Gale (2),,,英語,源自中古英語 gaile（意為「快活的」）的姓氏。它也與英語單字 gale（意為“風暴”）相符。,,,,,,
男,Galen,,,英語,希臘文名稱 Γαληνός (Galenos) 的現代形式，源自希臘語 γαλήνη (galene)，意為「平靜」。該名稱由公元前2世紀一位對解剖學和醫學做出貢獻的希臘羅馬醫生所命名。在現代，有時也會以他的名字命名。,,,,,,
女,Galicia,Galy,,加利西亞語、西班牙語（拉丁美洲）,源自加利西亞地區，類似「América」或「África」等地名。這個名字與加利西亞移民有關，因此如今在拉丁美洲國家仍可見。,,,,,,
女,Galilea,,,義大利語（罕見）、西班牙語（罕見）、英語（現代）,Galileo 的女性形式。,,,,,,
男,Galileo,,,義大利語（罕見）,"源自拉丁語 galilaeus 的中世紀義大利名字，意為「加利利人，來自加利利」。加利利是以色列北部的一個地區，在《新約》中被提及為耶穌行過數次神蹟的地方。它源自於希伯來文根 גָּלִיל (galil)，意為「地區，捲軸」。
伽利略·伽利萊（1564-1642）是一位重要的義大利天文學家、物理學家和工程師。他的名字和姓氏均源自一位15世紀的早期祖先（一位醫生）。",,,,,,
男,Gallagher,,,英語（罕見）,來自愛爾蘭姓氏，愛爾蘭蓋爾語 Ó Gallchobhair 的英語化形式，源自名稱 Gallchobhar。,,,,,,
女,Gardenia,,,英語（罕見）,源自熱帶花卉的名稱，以蘇格蘭博物學家亞歷山大花園 (1730-1791) 的名字命名。,,,,,,
男,Gareth,Gaz,,威爾斯語、英語（英國）、亞瑟王傳奇,含義不明。這個名稱以這種形式出現在托馬斯·馬洛禮15世紀編纂的亞瑟王傳奇《亞瑟王之死》中，其中騎士加雷斯（Gareth，又名博曼）是高文（Gawain）的兄弟。他與萊內特（Lynet）一同前往，從紅騎士手中救出她的妹妹里昂內斯（Lyonesse）。馬洛禮以Gaheriet或Guerrehet命名，後者是法文文獻中類似角色的名字。這個名稱最終可能源自威爾斯語，可能源自Gwrhyd（意為「勇氣」）（見於故事《庫爾赫奇與奧爾文》（Culhwch and Olwen））或Gwairydd（意為「乾草領主」（hay lord）（見於編年史《布魯特與布倫希恩德》（Brut y Brenhined lord）。,,,,,,
男,Garey,,,英語,Gary 的變體。,,,,,,
男,Garfield,,,英語,源自於古英語中意為「三角田」的姓氏。美國總統詹姆斯·A·加菲爾德（1831-1881）是該姓氏的著名使用者。如今，該姓氏與吉姆戴維斯的漫畫《加菲貓》中的貓咪有關。,,,,,,
男,Garland,,,英語,源自古英語gara和land，意為「三角形土地」。該姓氏原指擁有三角形土地的人。,,,,,,
男,Garnet (1),,,英語,源自英語單字garnet，意為珍貴的寶石，一月的誕生石。此字源自於中世紀英語gernet，意為「深紅色」。,,,,,,
男女,Garnet (2),,,英語,源自於一個英語姓氏，該姓氏要么是指製作鉸鏈的人（古法語 carne），要么源自諾曼名字 Guarin。,,,,,,
男女,Garnett,,,英語,Garnet 的變體。,,,,,,
女,Garnette,,,英語（罕見）,Garnet 的變體。,,,,,,
男,Garret,,,英語,源自姓氏 Garrett 的變體。,,,,,,
男,Garrett,,,英語,源自英國姓氏，源自於名字 Gerald 或 Gerard。該姓氏的著名持有者是 Pat Garrett (1850-1908)，他是槍殺 Billy the Kid 的警長。,,,,,,
男,Garrick,,,英語,源自法國胡格諾派的英語姓氏，源自奧克語 garric，意為「橡樹林」。,,,,,,
